"NAME","DATE","SNOW"
"NY CITY CENTRAL PARK, NY US","2000-01-20",2.5
"NY CITY CENTRAL PARK, NY US","2000-01-25",5.5
"NY CITY CENTRAL PARK, NY US","2000-01-30",1.5
"NY CITY CENTRAL PARK, NY US","2000-02-03",2.2
"NY CITY CENTRAL PARK, NY US","2000-02-18",3
"NY CITY CENTRAL PARK, NY US","2000-03-17",0.4
"NY CITY CENTRAL PARK, NY US","2000-04-09",1.2
"NY CITY CENTRAL PARK, NY US","2000-12-08",0.1
"NY CITY CENTRAL PARK, NY US","2000-12-20",0.5
"NY CITY CENTRAL PARK, NY US","2000-12-22",0.8
"NY CITY CENTRAL PARK, NY US","2000-12-30",12
"NY CITY CENTRAL PARK, NY US","2001-01-05",1.8
"NY CITY CENTRAL PARK, NY US","2001-01-21",6
"NY CITY CENTRAL PARK, NY US","2001-01-27",0.5
"NY CITY CENTRAL PARK, NY US","2001-02-05",3.5
"NY CITY CENTRAL PARK, NY US","2001-02-12",0.2
"NY CITY CENTRAL PARK, NY US","2001-02-22",5.5
"NY CITY CENTRAL PARK, NY US","2001-02-23",0.3
"NY CITY CENTRAL PARK, NY US","2001-03-05",2
"NY CITY CENTRAL PARK, NY US","2001-03-06",1.5
"NY CITY CENTRAL PARK, NY US","2001-03-26",0.3
"NY CITY CENTRAL PARK, NY US","2002-01-07",0.5
"NY CITY CENTRAL PARK, NY US","2002-01-19",3
"NY CITY CENTRAL PARK, NY US","2002-12-05",6
"NY CITY CENTRAL PARK, NY US","2002-12-25",5
"NY CITY CENTRAL PARK, NY US","2003-01-05",0.3
"NY CITY CENTRAL PARK, NY US","2003-01-06",0.3
"NY CITY CENTRAL PARK, NY US","2003-01-08",1
"NY CITY CENTRAL PARK, NY US","2003-01-16",0.1
"NY CITY CENTRAL PARK, NY US","2003-01-17",0.5
"NY CITY CENTRAL PARK, NY US","2003-01-26",1
"NY CITY CENTRAL PARK, NY US","2003-01-27",1
"NY CITY CENTRAL PARK, NY US","2003-01-29",0.5
"NY CITY CENTRAL PARK, NY US","2003-02-07",5.3
"NY CITY CENTRAL PARK, NY US","2003-02-10",1
"NY CITY CENTRAL PARK, NY US","2003-02-16",3.5
"NY CITY CENTRAL PARK, NY US","2003-02-17",16.3
"NY CITY CENTRAL PARK, NY US","2003-03-06",3.5
"NY CITY CENTRAL PARK, NY US","2003-04-07",4
"NY CITY CENTRAL PARK, NY US","2003-12-05",8
"NY CITY CENTRAL PARK, NY US","2003-12-06",6
"NY CITY CENTRAL PARK, NY US","2003-12-14",5.8
"NY CITY CENTRAL PARK, NY US","2004-01-12",0.5
"NY CITY CENTRAL PARK, NY US","2004-01-14",2.5
"NY CITY CENTRAL PARK, NY US","2004-01-15",3.2
"NY CITY CENTRAL PARK, NY US","2004-01-18",0.8
"NY CITY CENTRAL PARK, NY US","2004-01-27",6
"NY CITY CENTRAL PARK, NY US","2004-01-28",4.3
"NY CITY CENTRAL PARK, NY US","2004-02-06",0.7
"NY CITY CENTRAL PARK, NY US","2004-03-16",3.5
"NY CITY CENTRAL PARK, NY US","2004-03-17",0.5
"NY CITY CENTRAL PARK, NY US","2004-03-18",0.8
"NY CITY CENTRAL PARK, NY US","2004-12-19",0.1
"NY CITY CENTRAL PARK, NY US","2004-12-20",0.5
"NY CITY CENTRAL PARK, NY US","2004-12-26",0.3
"NY CITY CENTRAL PARK, NY US","2004-12-27",1.8
"NY CITY CENTRAL PARK, NY US","2004-12-28",0.3
"NY CITY CENTRAL PARK, NY US","2005-01-17",0.5
"NY CITY CENTRAL PARK, NY US","2005-01-19",0.8
"NY CITY CENTRAL PARK, NY US","2005-01-22",8.5
"NY CITY CENTRAL PARK, NY US","2005-01-23",5.3
"NY CITY CENTRAL PARK, NY US","2005-01-30",0.2
"NY CITY CENTRAL PARK, NY US","2005-02-20",1.5
"NY CITY CENTRAL PARK, NY US","2005-02-21",3.5
"NY CITY CENTRAL PARK, NY US","2005-02-24",4
"NY CITY CENTRAL PARK, NY US","2005-02-25",2
"NY CITY CENTRAL PARK, NY US","2005-02-28",4.8
"NY CITY CENTRAL PARK, NY US","2005-03-01",2.9
"NY CITY CENTRAL PARK, NY US","2005-03-08",1.5
"NY CITY CENTRAL PARK, NY US","2005-03-11",0.5
"NY CITY CENTRAL PARK, NY US","2005-03-12",1
"NY CITY CENTRAL PARK, NY US","2005-03-23",1
"NY CITY CENTRAL PARK, NY US","2005-12-04",2.5
"NY CITY CENTRAL PARK, NY US","2005-12-06",1
"NY CITY CENTRAL PARK, NY US","2005-12-09",5.8
"NY CITY CENTRAL PARK, NY US","2005-12-31",0.4
"NY CITY CENTRAL PARK, NY US","2006-01-15",2
"NY CITY CENTRAL PARK, NY US","2006-02-11",2.8
"NY CITY CENTRAL PARK, NY US","2006-02-12",24.1
"NY CITY CENTRAL PARK, NY US","2006-03-02",1.3
"NY CITY CENTRAL PARK, NY US","2006-04-05",0.1
"NY CITY CENTRAL PARK, NY US","2007-01-19",0.3
"NY CITY CENTRAL PARK, NY US","2007-01-20",0.1
"NY CITY CENTRAL PARK, NY US","2007-01-25",0.1
"NY CITY CENTRAL PARK, NY US","2007-01-28",0.4
"NY CITY CENTRAL PARK, NY US","2007-01-29",0.1
"NY CITY CENTRAL PARK, NY US","2007-01-30",1
"NY CITY CENTRAL PARK, NY US","2007-01-31",0.6
"NY CITY CENTRAL PARK, NY US","2007-02-14",2
"NY CITY CENTRAL PARK, NY US","2007-02-25",1.2
"NY CITY CENTRAL PARK, NY US","2007-02-26",0.6
"NY CITY CENTRAL PARK, NY US","2007-03-07",0.5
"NY CITY CENTRAL PARK, NY US","2007-03-16",5.5
"NY CITY CENTRAL PARK, NY US","2007-12-02",1.4
"NY CITY CENTRAL PARK, NY US","2007-12-05",0.3
"NY CITY CENTRAL PARK, NY US","2007-12-13",0.2
"NY CITY CENTRAL PARK, NY US","2007-12-16",1
"NY CITY CENTRAL PARK, NY US","2008-02-12",2.8
"NY CITY CENTRAL PARK, NY US","2008-02-22",6
"NY CITY CENTRAL PARK, NY US","2008-02-29",0.2
"NY CITY CENTRAL PARK, NY US","2008-12-16",1
"NY CITY CENTRAL PARK, NY US","2008-12-19",4
