"num_assault","mean_temp"
1462,36.5
700,23.5
806,20
799,33
871,36
913,46.5
859,36
800,33.5
881,35.5
897,38.5
886,40.5
743,28
752,19.5
780,13.5
772,18
825,37.5
844,28
791,18
747,16.5
684,14.5
716,20.5
682,28
833,38
898,31
962,29
924,35
932,38.5
807,30
813,26
867,37.5
964,50
1036,40
879,37
897,36
848,35.5
742,37
765,31.5
858,32.5
810,31
828,28.5
773,25
711,15
716,25.5
729,25.5
775,32.5
927,36.5
868,40.5
983,38.5
763,33
785,31
715,33.5
849,37
896,36.5
817,34.5
784,30.5
792,21.5
726,35
817,32.5
893,33.5
875,47
1031,37.5
881,37
777,32.5
756,29
764,29
938,49.5
950,61
921,50
958,34
890,43.5
803,55
911,58.5
926,59
930,63.5
999,64.5
955,64
1069,70
919,69
978,69.5
991,74
1074,74
978,71.5
976,59
905,56
885,57
829,42
868,57
911,56.5
948,44
941,46.5
878,44.5
993,49.5
828,54.5
883,59
865,52
880,43.5
901,43
974,50.5
820,55.5
918,52
843,40
919,43
922,47.5
939,53
943,60.5
976,69
931,55
957,48
878,56
961,53
917,44.5
876,44.5
824,47
935,49.5
896,52
952,53.5
925,47
962,44.5
878,47.5
803,50
869,56
1054,57
998,69
981,76
1030,64
948,56
841,60.5
972,58
1023,61
976,53.5
916,56.5
996,60.5
932,61
819,61
1004,62.5
1038,71.5
947,57.5
954,59.5
977,69
930,75.5
955,79
886,60.5
949,60.5
1071,64.5
1021,77
1082,74
910,73
927,83.5
1029,86
1094,73
984,61.5
828,50.5
1212,57
944,62.5
991,69
979,67
949,63.5
1021,64
990,68
1114,71
1049,77.5
1007,80
1066,80
1087,68.5
1076,63
979,71.5
1081,76.5
1059,81.5
946,78
1067,81.5
1004,86.5
1097,86
1055,77.5
1120,75.5
1128,74.5
1077,79.5
965,68
956,69.5
1046,74.5
939,88
1042,78.5
1010,80.5
1180,79.5
1055,84.5
1057,86.5
1045,90.5
1010,91
1027,92.5
1062,85.5
1090,76.5
1065,78.5
1054,75
1029,75.5
1037,78.5
1083,81.5
1054,80
1123,83
988,84.5
1004,89
974,83
919,77
1072,74.5
1065,76
985,78.5
988,89
967,76.5
1010,84.5
975,79
1040,76
1044,74.5
1015,74
1000,80.5
933,76.5
1092,79
1018,79.5
1061,83
1000,82
960,75
961,73.5
951,77
972,78
935,69
914,68.5
993,67
943,65.5
867,64.5
961,70
1061,75
937,69
962,67
986,65
940,69.5
893,66
920,66
890,69.5
1029,78
1033,79
1080,79.5
905,72.5
902,77
953,74.5
955,74.5
929,77
1014,81.5
1167,73
895,77.5
890,79.5
913,78
861,74.5
1017,77
959,68.5
985,63.5
907,63.5
875,63.5
912,67.5
936,74.5
868,62.5
996,63.5
1011,64.5
897,63
901,66.5
831,55
913,57
919,61.5
999,54
871,51.5
827,50.5
869,53.5
921,63
934,60.5
837,55.5
982,58.5
970,63.5
869,58
1047,56.5
905,61
919,61
879,62.5
914,44.5
807,42
768,43.5
900,46
891,53.5
961,43
866,51
963,45
875,55.5
860,59.5
938,50.5
873,55
955,61
895,49.5
942,47.5
961,49
925,52.5
839,57
892,63.5
1017,68
850,60
961,44
860,41
827,43.5
832,43.5
870,43.5
950,42
1067,44
931,41
801,40.5
731,40
889,38
786,35.5
875,43.5
853,40
1001,44.5
976,58
884,55
795,34.5
824,32.5
847,37
946,39
941,40.5
872,40.5
848,44
866,47.5
925,49
890,44
660,52.5
787,35
838,28
813,36
798,29.5
807,25
858,35.5
916,42
990,43.5
1049,44
842,53.5
933,58
916,48.5
860,33.5
875,39
895,43.5
777,39
761,38
851,34.5
826,29
911,37
807,40.5
952,38
857,43.5
788,43.5
828,35
849,36
874,37.5
828,41
777,26.5
732,24.5
763,27.5
709,31
522,29
621,30.5
683,30.5
853,30.5
806,26
705,23.5
738,27.5
1317,18
748,20
770,23.5
866,24.5
786,28.5
697,27
817,28
755,33
882,38.5
847,33.5
905,47
761,41.5
708,22
743,18.5
839,21.5
829,26
848,26.5
926,31
885,37.5
688,20.5
665,10
692,5
796,16.5
862,13
824,23.5
796,20.5
703,30
906,42.5
906,51
856,32.5
753,13.5
882,7
738,15.5
591,15
727,20.5
788,18.5
826,23.5
752,32.5
816,28
800,26
761,39.5
759,37
783,25
858,31.5
749,36
931,26.5
690,16
692,19.5
757,39.5
748,21
767,16
768,25.5
761,29
697,25
676,28
756,31.5
674,34
825,33
808,31
992,27.5
765,24
715,24.5
814,26
694,31
722,31
831,33
879,29.5
838,37
693,45
823,40.5
841,31.5
822,27.5
841,30
877,35.5
825,32.5
771,30.5
793,28
770,24.5
789,19.5
758,23.5
862,30.5
781,33
789,34.5
756,35
774,36
775,36.5
831,39.5
871,43.5
868,43.5
767,47.5
942,35
837,35
826,34.5
932,41.5
900,40.5
805,53
795,49.5
896,52.5
824,47
851,39.5
812,42
920,41
842,39.5
827,53.5
842,55
858,49
719,45.5
797,51
847,36.5
804,39
773,41.5
914,52.5
764,48.5
907,43.5
875,44.5
961,50.5
870,55.5
794,57
904,60.5
859,73
1159,70
826,48.5
903,44
911,59.5
827,58.5
874,60.5
907,61.5
965,63.5
834,60.5
915,45.5
833,51.5
831,46
894,50
906,70.5
1037,72
969,68
987,62.5
946,68
850,72
959,77
930,72.5
910,62.5
839,48
935,49
837,50.5
777,56
770,57.5
848,66
903,74
945,73.5
933,70.5
1060,69.5
832,53
914,55.5
858,61
901,63.5
960,58
878,60
923,61.5
830,67.5
887,68
853,71.5
830,74.5
914,65.5
1006,67
895,69
953,77.5
1021,73.5
927,63.5
899,64
967,71
904,75
922,73.5
888,76.5
825,78
913,76
951,73
875,77
908,75
903,68
933,69.5
1064,67
878,64
878,65.5
946,69.5
990,73
885,74
901,79
880,78
883,79
871,75.5
884,72.5
943,70.5
946,73
944,80
1018,80
907,82.5
931,85
920,86
903,83.5
918,80
929,78
1001,79
925,70.5
962,66
918,69
990,66
895,60
859,61.5
891,66.5
891,65.5
843,68.5
1017,71
968,73
971,72.5
922,67.5
853,66.5
905,75
940,78
909,71.5
987,70.5
1018,72.5
894,70.5
981,74.5
900,64
882,64
923,65
